source,source_type,survey,case,DRIPreV3,DRIPostV3,provider,model
claude-3-haiku-20240307,llm,fnqcj,FNQCJ,0.4238365423159558,-0.054278060720810095,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,forestera,Forest Lay Citizen,0.5854273333189643,0.24068375656582291,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,forestera,Forest Stakeholder,0.6507632824297396,0.18524482418784063,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,fremantle,Fremantle,-0.05533568719966553,-0.11054356691042062,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,swiss_health,CA,0.35380437166380485,0.13987867985890134,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,uppsala_speaks,Activate,0.47587937194251806,0.16374527231463104,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,uppsala_speaks,Standard,0.3272553809517291,0.1136748156276676,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,valsamoggia,Valsamoggia,0.4361185167214081,-0.1865756832419509,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,zh_uster,USTER,0.2017511644898362,-0.14527083862098356,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,zh_winterthur,Winterthur,0.47279262846636505,-0.08167608256110766,anthropic,claude-3-haiku-20240307
claude-3-haiku-20240307,llm,zukunft,Zukunft,0.5625296762135457,0.2590146523142823,anthropic,claude-3-haiku-20240307
claude-3-opus-20240229,llm,acp,Citizen Parliamentarian,0.154193471482043,0.09818949842057559,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,auscj,HGE Deliberative Group,-0.6940453484431031,-0.5783168339597109,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,bep,BEP,0.52502729489008515,0.3487541032628123,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,biobanking_mayo_ubc,Mayo,0.42303732220037715,0.25468170882127683,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,biobanking_mayo_ubc,UBC Bio,0.34316560636231985,0.11135156265237714,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,biobanking_wa,WA Citizens,0.4448548118916822,0.40026890635070184,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,biobanking_wa,WA Stakeholder,0.4288812461634399,0.42278384199845437,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,ccps,CCPS ACT Deliberative,0.6232626091351046,0.5889673611281789,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,ds_aargau,Aargau,0.3821028477583157,0.20232172757176067,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,ds_bellinzona,Bellinzona,0.4279806762674263,0.5455216793669112,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,energy_futures,CSIRO NSW,0.4497016608535087,0.38901033924918416,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,energy_futures,CSIRO WA,0.4351940809610608,0.5436180434148832,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,fnqcj,FNQCJ,-0.07629765895174168,0.4837169883274467,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,forestera,Forest Lay Citizen,0.3846815915061559,0.631776047767891,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,forestera,Forest Stakeholder,0.43834253913506194,0.5249631428543772,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,fremantle,Fremantle,0.02226961319338594,-0.04826084074686792,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,swiss_health,CA,0.32445358488040954,0.3420819591583198,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,uppsala_speaks,Activate,0.5570024030648313,0.5762455727604084,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,uppsala_speaks,Standard,0.21361231199231634,0.40725312805948594,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,valsamoggia,Valsamoggia,0.12622244054926912,0.17324086534303115,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,zh_uster,USTER,0.5836010491868711,0.5787651869781996,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,zh_winterthur,Winterthur,0.3923683801126421,0.546471279143663,anthropic,claude-3-opus-20240229
claude-3-opus-20240229,llm,zukunft,Zukunft,0.5573773561698312,0.5815764208334304,anthropic,claude-3-opus-20240229
command,llm,acp,Citizen Parliamentarian,-0.08669332336032998,-0.03143631308822029,cohere,command
command,llm,auscj,HGE Deliberative Group,-0.00860686120857801,0.052818925861358994,cohere,command
command,llm,bep,BEP,-0.18752653008367748,-0.0810056356372492,cohere,command
command,llm,biobanking_mayo_ubc,Mayo,0.33921454900353343,0.10165436704517825,cohere,command
command,llm,biobanking_mayo_ubc,UBC Bio,0.38176214390793817,0.08507776241145176,cohere,command
command,llm,biobanking_wa,WA Citizens,0.38422331187890846,0.2513209071998469,cohere,command
command,llm,biobanking_wa,WA Stakeholder,0.49848915557271534,0.25831700341549846,cohere,command
